Maker Wise Calendar Year Data  For All State (),,,,,,,
S No,                      Maker                       ,Calendar Year ,,,,,     TOTAL     
1978,SHREE SHYAM INDUSTRIES BARGARH TELENTIKRA,5,0,0,0,0,5
1979,SHREE SIDHIVINAYAK AUTO,206,31,0,0,0,237
1980,SHREE SIRIDI SAI MINERAL & EXPORTS PVT. LTD,0,0,0,1,0,1
1981,SHREE SWASTIK ENGINEERING CUTTACK MADHUPATNA,73,31,0,0,0,104
1982,SHREEVARI ENERGY SYSTEMS PVT. LTD,0,0,0,0,10,10
1983,SHREE VISHWAKARMA TRAILER WORK,6,0,0,0,0,6
1984,SHREYA ENGINEERS,3,8,9,13,44,77
1985,SHRI AVP ENGINEERING WORK,0,2,4,7,16,29
1986,SHRI BALAJI AGRO INDUSTRIES,0,0,0,0,1,1
1987,SHRI  BALAJI ENGINEERING WORKS,0,0,0,0,4,4
1988,SHRI BALAJI ENTERPRISES,0,0,0,0,1,1
1989,SHRI BARSANA E-VEHICLES PVT LTD,"3,185","5,732","4,089","1,572",647,"15,225"
1990,SHRI DATTA AGRO INDUSTRIES,58,27,5,4,19,113
1991,"SHRI DATTAKRUPA ENGINEERING WORKS, BARAMATI",0,0,1,0,0,1
1992,SHRI DURGA EQUIPMENT,0,1,0,0,0,1
1993,SHRI ENGINEERING WORKS,0,0,0,2,5,7
1994,SHRI GAJALAXMI ENGG WORKS,0,0,6,6,6,18
1995,SHRI GANESH ENGINERRING WORKS,4,58,68,43,38,211
1996,SHRI HARI AUTO,0,0,0,0,1,1
1997,SHRI KALIKA AGRICULTURE EQUIPMENT,2,0,0,1,4,7
1998,SHRIKANTH ENGINEERING WORKS,0,0,0,9,0,9
1999,SHRI KRISHNA INDUSTRIES,13,31,19,14,28,105
2000,SHRI KUMAR TRAILERS EQUIPMENTS,0,0,0,0,42,42
2001,SHRI LAXMI ENGINEERING WORKS,21,58,78,86,45,288
2002,SHRI MAHALAXMI AGRO IND,4,9,10,8,45,76
2003,SHRI NAMO ELECTRIC AUTOMOTIVE,524,808,645,264,214,"2,455"
2004,SHRI NANDI TRAILER WORKS,1,2,5,2,17,27
2005,SHRINIWAS AGRO INDUSTRIES,20,35,70,99,34,258
2006,SHRI  PUTTARAJ INDUSTRIES,0,0,0,0,3,3
2007,SHRI RADHE ENGG,0,1,2,7,4,14
2008,SHRIRAJ ELECTRIC VEHICLES,616,"1,867","2,728","2,102","1,349","8,662"
2009,SHRI RAMA ENGINEERING,0,9,14,75,29,127
2010,SHRI RAM AGRO INDUSTRIES,0,3,19,9,15,46
2011,SHRI RAM AUTO TECH PVT LTD,0,1,3,4,1,9
2012,SHRI RAM INDUSTRIES,0,0,0,0,1,1
2013,SHRI RAM TRAILOR,0,14,5,24,30,73
2014,SHRI SAI ENGG WORKS,0,68,106,65,41,280
2015,SHRI SAI SANTOSHI MATA AGRICULTURAL WORKS,0,0,10,14,38,62
2016,SHRI SENDHIL AGRO SER,0,0,0,0,1,1
2017,SHRI SHANKAR ENG WORKS,1,90,104,99,138,432
2018,SHRI SHIVAJI ENG WORKS,23,26,23,54,52,178
2019,SHRI SHIVSHANKAR ENTERPRISES,0,0,0,8,3,11
2020,SHRI SHIVSHIDHA AGRI IMPLIMENT,5,12,4,12,13,46
2021,SHRI SHRINIVASA ENG WORKS,0,71,169,31,44,315
2022,SHRI SHYAM ENGG WORKS,10,10,17,16,46,99
2023,SHRI SHYAM INDUSTRIES,0,0,1,9,7,17
2024,SHRI SWASTIK ENGG,7,70,70,59,90,296
2025,SHRI TIRUMALA ENGINEERING WORKS,74,114,55,52,66,361
2026,SHRI VADESHWAR TRAILORS,13,23,24,34,43,137
2027,SHRI VENKATARAMANA TRAILER WORK,2,19,6,17,14,58
2028,SHRI VENKATESHWARA ENGINEERING WORKS,1,20,41,39,15,116
2029,SHRI VENKATESHWAR AGRO INDUSTRIES,1,12,5,7,36,61
2030,SHRI VENUGOPAL ENGG WORKS,0,0,0,0,1,1
2031,SHRI VIJAY ENGINEERING WORKS,2,3,7,32,36,80
2032,SHRI VINAYAK INDUSTRIES,16,33,22,14,44,129
2033,SHRI VISHWAKARMA AUTOMOBILE,76,151,135,116,112,590
2034,SHUBHADA INDUSTRIES,0,0,0,1,10,11
2035,SHUBHAM MANUFACTURER,6,16,6,0,0,28
2036,SHUBHLAKSHMI AGRO INDUSTRIES,5,0,0,0,0,5
2037,SHUBHLAXMI AGRO IND.,0,0,1,1,14,16
2038,SHUBHMARUTI AGRITECH PVT LTD,1,1,0,0,0,2
2039,SHYAM AGRO INDUSTRIES,3,0,0,0,0,3
2040,SIDANA INDUSTRIES,27,0,0,0,0,27
2041,"SIDDHAKALA ENGINEERING AND WELDING WORKS
",11,15,2,8,7,43
2042,SIDDHESHWAR AGRO INDUSTRIES,0,1,0,0,5,6
2043,SIDDHESWARI WELDING WORKS,0,0,0,2,1,3
2044,SIDDHI ENGINEERING WORKS,0,0,6,38,57,101
2045,SIDDHIVINAYAK ENGINEERING,0,5,0,3,0,8
2046,SIDHI DURGA ENGINEERING,2,64,68,57,100,291
2047,SIDHI DURGA ENGINEERING TRAILOR CUTTACK MADHUPATAN,44,13,0,0,0,57
2048,SIGMACON EQUIPMENT LLP,0,0,1,1,0,2
2049,SIMPLEENERGY PVT LTD,"2,551","1,419",66,0,0,"4,036"
2050,SINGHAL ENTERPRISES,102,134,136,38,46,456
2051,SINGH AUTOMOBILES,648,648,359,0,0,"1,655"
2052,SINGH ENGINEERING WORKS,0,0,5,8,8,21
2053,SINGH ENGINEERING WORKS BARGARH RAILWAY STATION,12,0,0,0,0,12
2054,SIRF INDIA VEHICLES PVT LTD,129,154,27,5,24,339
2055,SITARAM ENGINEERING WORKS,0,0,0,0,7,7
2056,SITARAM WELDING WORKS,5,0,0,0,0,5
2057,SITYOG ENGINEERING PVT LTD,0,2,5,0,1,8
2058,SIWACH STEEL PVT LTD,2,14,24,98,47,185
2059,SIX SENSES AUTOMOTIVE PVT LTD,28,46,12,4,0,90
2060,SIYARAM TRAILORS,0,1,0,0,0,1
2061,SJ BIZ SOLUTIONS PVT LTD,0,0,0,1,1,2
2062,SKB ENGINEERING WORKS AP117952626,0,0,0,2,0,2
2063,SKODA AUTO AS,16,87,1,2,96,202
2064,SKODA AUTO INDIA PVT LTD,1,3,7,834,523,"1,368"
2065,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,"63,179","79,282","90,778","81,093","39,335","3,53,667"
2066,SKS AUTOMOBILES (I) PVT LTD,0,0,2,5,0,7
2067,SKS TRADE INDIA PVT LTD,"5,933","10,968","10,087","6,332","2,243","35,563"
2068,S. K. TRAILER,0,0,0,7,40,47
2069,SKYBOLT INDUSTRIES PVT LTD,100,0,0,0,0,100
2070,SKYRIDE AUTOMOTIVE,3,15,40,90,520,668
2071,SKYY RIDER ELECTRIC PRIVATE LIMITED,93,216,1,0,0,310
2072,SMAP VEHICLES (IMPORTER: ELEGO MOTORS),8,8,15,0,0,31
2073,SMARDA INDUSTRY (IMPORTER: RHYNO),3,4,0,0,0,7
2074,SMART ELECTRO MOTORS,32,67,47,48,37,231
2075,SMARTOMATIC VEHICLES PRIVATE LIMITED,0,0,2,0,0,2
2076,S.M ELECTRIC VEHICLE,180,42,0,0,0,222
2077,SM INTERNATIONAL,30,0,0,0,0,30
2078,SMITH MOTORS PVT LTD,1,0,4,0,0,5
2079,SML ISUZU LTD,"8,779","11,933","10,551","8,812","5,725","45,800"
2080,SMT INDUSTRIES,0,1,0,0,0,1
2081,SMV,0,0,0,283,611,894
2082,SMV GREEN SOLUTIONS PVT LTD,80,0,0,0,0,80
2083,"S.N.ENGINEERING, CUTTACK",1,1,0,0,0,2
2084,SN SOLAR ENERGY,252,539,187,23,44,"1,045"
2085,"S N SWAMI ENG WORKS,NUAPADA",0,0,0,0,2,2
2086,SOHAM AGRO IND,0,0,0,0,1,1
2087,SOKUDO ELECTRIC INDIA PVT LTD,321,418,132,0,0,871
2088,SOLANKE ENGINEERING WORKS,6,16,14,16,1,53
2089,SONALIKA INTERNATIONAL TRACTORS LIMITED,10,25,52,91,156,334
2090,SONAL INDUSTRIES,2,0,0,0,0,2
2091,SONI E VEHICLE PVT LTD,2,37,64,173,74,350
2092,SONU MONU TRACTOR,0,0,0,1,0,1
2093,SPEED AUTO TECH,26,38,87,8,0,159
2094,SPEED CRAFTS LIMITED,0,0,0,1,1,2
2095,SPEEDWAYS ELECTRIC,1,4,5,1,3,14
2096,SPEEGO VEHICLES CO PVT LTD,"1,385","3,419","4,770","3,733","1,877","15,184"
2097,SPEEGO VEHICLES PVT. LTD,0,0,12,145,74,231
2098,S P TRADING BBSR BALIANTA,15,17,0,0,0,32
2099,"S P TRADING, KHURDA",0,40,55,43,58,196
2100,S R AGRICULTURE EQUIPMENTS CO (P) LTD,0,15,19,23,302,359
2101,SRD RENEWABLES,"1,285","1,676","2,121","1,222",481,"6,785"
2102,SRI AGENCY AND FABRICATOR GANJAM BERHAMPUR,1,0,0,0,0,1
2103,"SRI AGENCY & FABRICATION,GOPINATH NAGAR,BERHAMPUR",1,0,12,24,17,54
2104,"SRIAGENCY & FABRICATOR,BHMPUR",0,0,0,1,38,39
2105,SRI AVP ENGINEERING WORKS BARGARH RENGALICAMP,24,8,0,0,0,32
2106,SRI CHERAN TRAILER,0,0,0,0,1,1
2107,SRI GANESH ENGINNERING WORKS AP56240472,9,0,0,0,0,9
2108,"SRI GANESH ENG WORKS, HALADIAPADAR, GANJAM",0,0,7,5,8,20
2109,SRI GAYATHRI ENGINEERING WORKS AP1014203799,1,0,0,0,0,1
2110,SRI GAYATRI ENGINEERING WORKS AP235532582,3,0,0,0,0,3
2111,SRI GOWRI  ENGINEERING WORKS AP203623577,1,0,0,0,0,1
2112,SRI KALKI BHAGAVAN ENGINEERING WORKS AP213191551,1,0,0,0,0,1
2113,SRI LAKSHMI ENGINEERING INDUSTRIES,0,0,3,5,8,16
2114,SRI LAKSHMI ENGINEERING WORKS AP203583506,1,0,0,0,0,1
2115,SRI LAKSHMI GANESH ENGINEERING WORKS AP105023461,2,0,0,0,0,2
2116,"SRI MANIKANTA ENGINEERING WORKS,KADAPA AP49604028",0,1,0,0,0,1
2117,SRI MANJU INDUSTRIES,0,0,0,1,2,3
2118,SRI MANJU TRAILERS,0,0,0,1,5,6
2119,SRI NANDISHWARA ENGINEERING WORKS,0,0,0,5,6,11
2120,SRI NAVADURGA AGRO WORKS AP193673558,1,0,0,0,0,1
2121,SRINIVAS ENGINEERING WORKS RAYAGADA,6,0,0,0,0,6
2122,SRINIVAS E VEHICLE,13,4,0,0,0,17
2123,SRI PADMAVATHI ENGINEERING WORKS AP203572915,3,0,0,0,0,3
2124,SRI P.M. FAABS PVT LTD,0,2,0,0,0,2
2125,SRIRAGHAVAKRISHNASMALLSCALEENGINEERING AP213033561,2,0,0,0,0,2
2126,SRI RAMA TRAILERS,0,0,0,0,8,8
2127,SRI RAVI ENGINEERING WORKS AP117792684,9,0,0,0,0,9
2128,SRI SAI AGRICULTURAL EQUIPMENT,5,95,134,121,128,483
2129,SRI SAI DURGA ENGG WORKSAP021000001,0,1,0,0,0,1
2130,SRI SAI ENGINEERING WORKS AP235640703,0,2,0,0,0,2
2131,SRI SAI KIRAN ENGG WORKS AP203622972,1,0,0,0,0,1
2132,SRI SAI MARKETING,0,0,0,0,7,7
2133,SRI SANKAR ENGINEERING WORKS SAMBALPUR MANESWAR,59,18,0,0,0,77
2134,SRI SEETHA RAMA SMALL SCALE INDUSTRIES AP56151245,1,0,0,0,0,1
2135,SRI SIVA DURGA AGRO INDUSTRIES AP56094199,2,0,0,0,0,2
2136,SRI SIVA SIVANI AGRO INDUSTRIES AP203394137,7,0,0,0,0,7
2137,SRI SRI MARUTHI ENGINEERING WORKS AP235744011,5,9,0,0,0,14
2138,SRI SRINIVASA AUTO ENGNEERING WORKS AP105381065,3,0,0,0,0,3
2139,SRI SRINIVASA ENGINEERING WORKS AP213071506,7,0,0,0,0,7
2140,SRI SURYA ENGINEERING AP514581410,1,0,0,0,0,1
2141,SRI TIRUMALA AGRO SALES CHARBAHAL,0,1,0,0,0,1
2142,"SRI.TIRUMALA AGRO SALES, CHARBAHAL",0,1,0,3,1,5
2143,SRIVARU MOTORS PVT LTD,8,3,24,60,77,172
2144,SRI VELMURUGAN ENGINEERING WORKS,0,0,0,5,4,9
2145,SRI VENKATALAKSHMI ENGINEERING WORKS AP203570431,3,0,0,0,0,3
2146,SRI VENKATA SAI ENGINEERING WORKS AP203513559,8,0,0,0,0,8
2147,SRI VENKATESWARA ENGINEERING WORKS,1,1,0,0,0,2
2148,SRI VENKATESWARA ENGINEERING WORKS AP105380358,1,0,0,0,0,1
2149,SRI VENKATESWARA ENGINEERING WORKS AP313381731,1,0,0,0,0,1
2150,SRIVENKATESWARAENGINEERINGWORKS AP315793529,3,0,0,0,0,3
2151,SRI VIJAYALAKSHMI AGRO INDUSTRIES AP235531371,1,0,0,0,0,1
2152,SRIVIJAY E-VEHICLES PVT LTD,18,0,0,0,0,18
2153,SRI VINAYAKA ENGINEERING WORKS AP56120493,2,0,0,0,0,2
2154,S S AGRO INDUSTRIES,0,3,2,6,3,14
2155,S.S. AGRO TECH,6,2,15,11,6,40
2156,SSB INDISTRIES,832,"1,650","2,248","1,748",603,"7,081"
2157,S S ENTERPRISE,0,0,0,0,3,3
2158,SSEV ENTERPRISES PRIVATE LIMITED,924,985,767,340,0,"3,016"
2159,SSE WORKS LTD,0,0,0,1,6,7
2160,S S GLOBAL,42,53,6,11,61,173
2161,SSV TECHNOLOGIES,2,1,0,2,0,5
2162,STANDARD AGRICULTURE WORKS(R),2,0,0,24,24,50
2163,STANDARD COMBINES PVT LTD,3,3,3,5,7,21
2164,STANDARD CORPORATION INDIA LTD,122,162,143,130,255,812
2165,STAR AGRO INDUSTRIES,0,0,3,8,17,28
2166,STAR BULL E MOTORS,560,"1,624","2,077","2,217",434,"6,912"
2167,STAR ENGINEERING WORKS,0,2,0,0,0,2
2168,STAR IGLOBAL AUTOMOTIVE PVT LTD,90,416,572,224,90,"1,392"
2169,STAR INDUSTRIES,62,89,0,0,0,151
2170,STAR SMART BIKES PVT LTD,4,0,0,0,0,4
2171,STAR WELDING WORKS,3,9,14,19,23,68
2172,STRENGTH AUTOELECTRIC PVT LTD,316,141,0,0,0,457
2173,SUBHADRA ENGINEERING CUTTACK NUAPADA,45,22,0,0,0,67
2174,SUBHADRA ENGINEERING NUAPADA,6,34,78,39,50,207
2175,SUBHAM ENGINEERING BALASORE BALIAPAL,44,0,0,0,0,44
2176,SUBHLAXMI AGRO,0,0,5,4,2,11
2177,SUBRAHMANYESWARA AGRO INDUSTRIES AP105380107,4,0,0,0,0,4
2178,SUBRAHMANYESWARA ENGG WORKS AP235530208,6,0,0,0,0,6
2179,SUBRAMANYESWARA INDUSTRIES,20,35,35,51,35,176
2180,SUDHA ENGINEERING WORKS,3,42,16,15,15,91
2181,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,364,417,175,11,0,967
2182,SUGANJI RARA ELECTRIC VEHICLE PVT LTD,0,0,0,4,10,14
2183,"SUJAY ENGG ENTERPRISES
",0,0,0,1,0,1
2184,SUKHDEV AGRO INDUSTRIES,1,5,6,10,0,22
2185,SUKHRAJ & SUKHRAJ INDUSTRIES,0,0,4,5,0,9
2186,SUKHWINDERA AGRO INDUSTRIES,3,1,0,0,0,4
2187,SUMEC CO LTD (IMPORTER: ROUTE & MARS EV LLP),1,1,0,0,0,2
2188,SUMFONL AUTO TRADERS PVT LTD,87,261,286,77,79,790
2189,SUNANDA GREENTECH PVT LTD,193,231,11,0,0,435
2190,SUNARIYA MOTORS PVT LTD,3,42,36,0,0,81
2191,SUN AUTO,0,6,1,0,0,7
2192,SUNGLOW FAB LLP,0,0,0,0,1,1
2193,SUNIL AGRO ENGINEERING WORKS,2,18,47,32,19,118
2194,SUNIL AGRO ENGINEERING WORKS ANGUL PANCHAMAHALA,7,6,0,0,0,13
2195,SUN INDUSTRIES,361,438,0,0,0,799
2196,SUNJET ENERGY PVT LTD,10,1,0,0,0,11
2197,SUNKU AUTO LTD,0,0,0,1,0,1
2198,SUNLECTRA AUTO,0,0,0,0,1,1
2199,SUNSET TRADE PVT LTD,22,189,377,250,22,860
2200,SUNSHINE TECHNOLOGIES,80,28,2,0,0,110
2201,SUNULTRA POWER SOLUTIONS PVT LTD,17,58,142,82,28,327
2202,SUPERECO AUTOMOTIVE CO,71,150,266,78,147,712
2203,SUPERECO AUTOMOTIVE CO LLP,0,0,1,0,1,2
2204,SUPER METRO INDUSTRIES,866,"1,123","1,198","1,006",94,"4,287"
2205,SUPER POWER MOTORS,121,180,2,0,0,303
2206,SUPER STANDARD AGRO COMBINE,17,7,10,2,6,42
2207,SUPERTECH EV LIMITED,"1,289","2,367","2,020","1,038",356,"7,070"
2208,SUPER TECHNO AUTOMOTIVE LLP,134,44,0,0,0,178
2209,SUPREME SALES AGENCY,211,152,0,0,0,363
2210,SUPREME SMART POWER PVT LTD,101,339,434,244,64,"1,182"
2211,SUPROVA ENTERPRISE,0,4,4,0,0,8
2212,SURAJ ENGINEERING WORKS,10,20,11,15,15,71
2213,SURENDERA AGRO INDUSTRIES,0,0,0,16,33,49
2214,SURESH ENGINEERING WORKS,0,0,0,0,1,1
2215,SURINDERA AGRO INSDUSTRIES,145,195,183,85,146,754
2216,SURINDERA COMBINES PVT LTD,1,0,0,0,0,1
2217,SURJA AUTOMOTIVE PVT LTD,1,0,0,0,0,1
2218,SURYA INDUSTRIES,0,8,5,23,13,49
2219,SURYA INTERNATIONAL,8,16,16,0,1,41
2220,SURYA MOTORS,1,0,0,1,3,5
2221,SURYA STEEL WORKS,6,2,8,0,1,17
2222,SURYODAY MECHANICAL WORKS,0,0,1,1,0,2
2223,SUZUKI JAPAN,0,0,4,0,0,4
2224,SUZUKI MOTORCYCLE INDIA PVT LTD,"6,32,066","9,57,241","8,06,160","6,48,479","5,14,113","35,58,059"
2225,S.V AUTOMOTIVE,0,0,0,0,9,9
2226,S.V.ENGINEERS,0,7,0,14,39,60
2227,SVS ENTERPRISES,11,33,84,0,0,128
2228,SWADESHI INDUSTRIES,0,0,0,0,1,1
2229,SWADESH MOTORS AND TRACTORS LTD,1,1,2,15,18,37
2230,SWAMI AGRO TECH,3,3,0,0,0,6
2231,SWAMI ENGINEERING WORKS,2,2,0,3,7,14
2232,"SWAPNA FABRICATION WORKS,MALKANGIRI",0,4,12,4,0,20
2233,SWAPNA FABRICATION WORKS MALKANGIRI MAIN ROAD,0,3,0,0,0,3
2234,SWARAJ AUTOMOTIVES LTD,5,10,42,21,11,89
2235,SWARNCHAKRA AUTOMOBILES PVT LTD,16,15,5,7,15,58
2236,SWASTIK,36,2,0,0,0,38
2237,SWASTIK ENGINEERING WORKS,6,6,5,6,24,47
2238,SWASTIK INDUSTRIES,6,0,0,0,0,6
2239,SWITCH MOBILITY AUTOMOTIVE LTD,"1,043",550,158,296,0,"2,047"
2240,SYAN AGRO INDUSTRY,49,62,102,104,63,380
2241,SYNDICATE AUTO COMPONENTS,115,92,77,227,58,569
2242,TADANO LIMITED,0,3,6,5,4,18
2243,TAFE LIMITED,"61,703","1,03,179","1,03,248","89,634","83,162","4,40,926"
2244,TAMARIA VENTURES,2,2,0,0,0,4
2245,TAO POWER PRIVATE LIMITED,3,6,11,6,0,26
2246,TARA MAA MACHINERY,79,142,26,0,0,247
2247,TARINI INDUSTRIES,0,0,0,0,2,2
2248,TARLE CONSTRUCTION EQUIPMENTS PVT LTD,13,23,13,2,5,56
2249,TATA ADVANCED SYSTEMS LTD,355,710,370,255,3,"1,693"
2250,TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD,"1,046","1,148","1,284",898,"1,145","5,521"
2251,TATA HITACHI MACHINERY CONSTRUCTION LIMITED,0,0,1,66,97,164
2252,TATA INTERNATIONAL VEHICLE APPLICATIONS PVT LTD,127,104,39,6,5,281
2253,TATA MOTORS LTD,"2,12,560","3,58,126","3,74,829","4,10,803","5,84,547","19,40,865"
2254,TATA MOTORS PASSENGER VEHICLES LTD,"2,67,807","4,66,073","4,78,263","4,24,965",5,"16,37,113"
2255,TATA PASSENGER ELECTRIC MOBILITY LTD,"36,277","61,202","38,633",0,0,"1,36,112"
2256,TAURUS ELECTRIC VEHICLES,76,222,346,234,76,954
2257,TBL ENTERPRISE,0,0,1,0,1,2
2258,TEJAS ENERGY,47,35,0,0,0,82
2259,TEJASGREEN AUTOMOTIVE PVT LTD,0,0,1,42,7,50
2260,TELCO LTD,0,0,2,8,8,18
2261,TELSA INC,0,0,1,3,1,5
2262,TENAX INTERNATIONAL (IMPORTER: VERT EQUIPMENT),0,5,0,0,0,5
2263,TEREX CORPORATION,0,0,2,5,13,20
2264,TEREX EQUIPMENT PVT LTD,2,1,3,3,14,23
2265,TEREX INDIA PRIVATE LIMITED,82,75,46,16,0,219
2266,TERRA MOTORS INDIA PVT LTD,"5,438","8,766","8,813","7,916","3,411","34,344"
2267,THAVE ENTERPRISES,92,46,0,0,0,138
2268,THE COMMERCIAL MOTORS LIMITED,0,4,58,79,39,180
2269,THE COMMERCIAL MOTORS PVT LTD,0,11,8,0,0,19
2270,THIRUMALA ENGINEERING WORKS AP29071505,3,0,0,0,0,3
2271,THOKADE ENTERPRISES,0,1,0,0,0,1
2272,THUKRAL ELECTRIC BIKES PVT LTD,"4,264","9,466","7,321","5,917","3,895","30,863"
2273,TIANJIN DFXK PETROLEUM MACHINERY CO. LTD.,1,0,0,0,0,1
2274,TI CLEAN MOBILITY PVT LTD,"3,876","6,055","1,273",1,0,"11,205"
2275,TIGER AUTOMOBILES COMPANY,12,0,0,0,0,12
2276,TII INDIA PVT LTD,48,61,68,75,32,284
2277,TIL LIMITED,2,8,1,7,8,26
2278,TIL LTD,8,12,0,5,22,47
2279,TIRANGA AUTOTECH INDIA PVT LTD,16,0,0,0,0,16
2280,TIRTH AGRO INDUSTRY,38,0,0,0,0,38
2281,TIRTH AGRO TECHNOLOGY PVT LTD,202,385,348,192,67,"1,194"
2282,TIRTH AGRO TECH.PVT.LTD,0,0,1,6,5,12
2283,TIRTH HYGIENE TECHNOLOGY PVT LTD,2,2,4,13,8,29
2284,TIRUPATI AGRO INDUSTRIES,0,2,2,22,70,96
2285,TIRUPATI DISTRIBUTOR,8,2,0,0,0,10
2286,TITAGARH AGRICO (P) LTD,0,0,0,6,3,9
2287,TIVOLT ELECTRIC VEHICLES PVT LTD,67,0,0,0,0,67
2288,TOGOR ENGINEERING WORKS,4,11,3,1,0,19
2289,TOP TEAM MACHINES PVT LTD,815,"1,362","1,743","1,382",943,"6,245"
2290,TORK MOTORS PVT LTD,0,944,"1,589",319,0,"2,852"
2291,TOYOTA HIACE GL COMMUTER,9,18,1,0,0,28
2292,TOYOTA KIRLOSKAR MOTOR PVT LTD,"1,87,079","2,62,142","1,94,960","1,49,087","1,17,536","9,10,804"
2293,TOYOTA MATERIAL HANDLING INDIA PVT LTD,151,192,170,136,111,760
2294,TPS INFRASTRUCTURE LTD,24,29,16,15,12,96
2295,TPS INFRASTRUCTURE LTD.,0,3,1,0,2,6
2296,TRACLAXX TRACTORS PVT LTD,0,2,165,86,61,314
2297,TRACLAXX TRACTORS PVT.LTD,0,0,2,1,6,9
2298,TRACTOR VANDANA GREEN,0,21,1,10,9,41
2299,TRANS MECH SYSTEMS,0,0,0,8,21,29
2300,TRANSPORT ENGINEERING SOLUTIONS INDIA PVT LTD,22,26,44,124,27,243
2301,TRANSPORT SOLUTIONS INDIA,0,15,0,0,0,15
2302,TRANSWORLD TERMINALS PVT LTD,0,0,0,0,1,1
2303,TRATEC ENGINEERS PVT LTD,32,103,106,55,3,299
2304,TRATEC ENGINEERS PVT. LTD.,0,2,0,0,0,2
2305,TRATICO ENGINEERING INDIA PVT LTD,6,22,3,0,1,32
2306,TRIMURTI AGRO INDUSTRIES,8,15,14,9,17,63
2307,TRIMURTI INDUSTRIES,5,3,4,13,18,43
2308,TRIMURTI TRAILER,77,39,9,4,6,135
2309,TRINITY ELECTRIC VEHICLES PVT LTD,74,242,57,9,13,395
2310,TRISHIKA INDUSTRIES,45,512,"1,361","1,355",416,"3,689"
2311,TRISHUL TRACTORS PVT. LTD.,0,11,20,7,45,83
2312,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,513,"1,072",775,"1,014",906,"4,280"
2313,TRIUMPH UK,0,0,0,0,1,1
2314,TRUPART AUTOMOTIVE INDIA PVT LTD,2,5,10,0,2,19
2315,TRUZ INDUSTRIES,0,5,3,0,0,8
2316,TSM ENGINEERING PVT LTD,134,365,297,15,1,812
2317,TSR TRADE COM,5,12,30,29,35,111
2318,TUFAN MOTORS PVT LTD,445,816,987,391,193,"2,832"
2319,T U K INDUSTRIES,"2,999","3,727","2,845","1,240",327,"11,138"
2320,TULJABHAWANI AGRO INDUSTRIES,1,0,9,11,4,25
2321,TULSI TRAILER,5,9,10,12,16,52
2322,TUNWAL E MOTORS PVT LTD,1,16,44,58,1,120
2323,TVS MOTOR COMPANY LTD,"21,07,869","32,73,304","28,94,115","23,98,470","20,48,216","1,27,21,974"
2324,TWASHTRE AUTOMOTIVE PVT LTD,25,8,11,6,6,56
2325,TWIN GREEN TECH PVT LTD,0,1,0,0,0,1
2326,TWINKLE TRADCOM PVT LTD,"1,317","1,566","1,505",476,311,"5,175"
2327,TWO FRIENDS AUTO ELECTRIC PVT LTD,"1,940","3,338","3,848","2,724",940,"12,790"
2328,TYAGI AGROTECH COMPANY,1,1,0,0,0,2
2329,TYST DRIVE INDIA PVT LTD,5,6,31,41,25,108
2330,UK MODEN (IMPORTER: BIG BULL TRADER),1,0,0,0,0,1
2331,UK MODEN (IMPORTER: ELTHOR EV PVT LTD),2,0,0,0,0,2
2332,ULTRA MOTORS INDIA PVT LTD,0,0,0,0,2,2
2333,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,640,408,257,0,0,"1,305"
2334,UMA  AUTO INDUSTRIES PVT. LTD,10,67,137,34,1,249
2335,UMA MOTORS,182,258,211,191,72,914
2336,UM LOHIA TWO WHEELERS PVT LTD,0,0,0,0,2,2
2337,UNICORN DIGITAL SYSTEMS PVT LTD,0,0,0,0,3,3
2338,UNIPAVE ENGINEERING PRODUCTS,12,12,10,5,8,47
2339,UNIQUE AUTO ELECTRIC,"1,055","1,754",26,0,0,"2,835"
2340,UNIQUE ENTERPRISES,"2,391","3,647","3,580","1,671",778,"12,067"
2341,UNIQUE INTERNATIONAL,"7,007","13,706","13,574","10,251","3,989","48,527"
2342,UNITED KINGDOM GROVE,0,0,8,12,9,29
2343,UNITED TRANSMOVERS PVT LTD,234,364,272,321,226,"1,417"
2344,UNITER ENGINEERING PRODUCTS,0,2,0,1,0,3
2345,UP FURNITURE,42,0,0,0,0,42
2346,U P TELELINKS LIMITED,0,0,3,15,0,18
2347,U.P. TELELINKS LIMITED,"1,753","2,910","2,440","1,979",499,"9,581"
2348,URAL INDIA LTD.,0,0,0,1,0,1
2349,URWASHI ENTERPRISES,584,628,355,156,0,"1,723"
2350,USHASONS AUTO COMPONENTS,6,31,0,0,0,37
2351,UTKAL INDUSTRIES,0,0,5,16,35,56
2352,UTTAM CONSTRUCTION EQUIPMENTS,133,172,150,84,75,614
2353,VAHAK FUTURE SOLUTIONS LLP,36,101,23,17,12,189
2354,VAIBHAV ENGG. WORKS,9,0,0,0,0,9
2355,VAISHNAVI INDUSTRIES,20,0,0,0,0,20
2356,VALAMPURI & COMPANY,1,0,0,0,0,1
2357,VALDO TRACTORS PVT LTD,3,5,4,0,0,12
2358,VANDANA TRAILERS AND BODY MFG PVT LTD,4,1,0,0,0,5
