Maker Wise Calendar Year Data  For All State (),,,,,,,
S No,                      Maker                       ,Calendar Year ,,,,,     TOTAL     
1901,SHAKTTI CONSTRUCTIONS EQUIPMENT PVT LTD,308,360,278,146,74,"1,166"
1902,SHALYA AUTO SALES PVT LTD,303,508,617,213,0,"1,641"
1903,SHAMMI ELECTRONICS,44,37,28,0,0,109
1904,SHAN AGRO TECH,0,0,0,0,3,3
1905,SHANTHINATHA TRAILOR,0,0,0,0,1,1
1906,SHARMA AND SHARMA ENGG WORKS BARGARH RLY STATION,10,4,0,0,0,14
1907,SHARMA  AUTO MOBILES,0,0,0,1,2,3
1908,SHARMA-SHARMA ENGN WORKS,0,3,6,9,31,49
1909,SHEHAL PREET ENGG WORKS,0,0,0,0,1,1
1910,SHEHALPREET ENGG WORKS,11,20,20,32,27,110
1911,"SHEKHAR ENGINEERING,JAJPUR",0,1,3,6,8,18
1912,SHEMA E- VEHCILE & SOLAR PVT LTD,196,"1,568",0,0,0,"1,764"
1913,SHERA ELECTRICAL AUTO PVT LTD,0,0,0,1,0,1
1914,SHERARAM TRAILERS,0,0,1,0,0,1
1915,SHIGAN EVOLTZ LTD,616,275,431,853,514,"2,689"
1916,SHINE METAL UDYOG PVT LTD (UNIT- II),94,251,110,5,10,470
1917,SHINME ELECTRICAL VEHICLE PVT LTD,78,120,120,91,0,409
1918,SHIVA ENTERPRISES,166,173,0,0,0,339
1919,SHIVA GAYATHRI ENGG WORKS AP29070614,4,0,0,0,0,4
1920,SHIVA GAYATRI ENGG WORKS,50,74,695,450,0,"1,269"
1921,"SHIV AGRO ,AGENCY",3,1,0,3,22,29
1922,SHIV AGRO INDUSTRIES,170,301,163,110,257,"1,001"
1923,SHIV AGRO INDUSTRIES YJ,0,1,0,0,3,4
1924,SHIVAJI AGRO INDUSTRIES,7,32,15,27,69,150
1925,SHIVAM AGRICULTURE WORKS,35,0,0,0,0,35
1926,SHIVAM ENGINEERING WORKSHOP,0,22,0,0,0,22
1927,SHIVAM MOTORS PVT LTD,0,1,0,0,0,1
1928,SHIVASHAKTHI ENG WORKS,24,89,205,269,183,770
1929,SHIVA SHAKTI SMALL SCALE INDUSTRY,0,0,0,0,1,1
1930,SHIV ENTERPRISES,173,155,0,0,0,328
1931,SHIVGANGA ECOGREEN LLP,520,355,0,0,0,875
1932,SHIVKRUPA TRAILOR,9,23,12,20,27,91
1933,SHIV OM INDIA,144,220,197,69,23,653
1934,SHIVRAJ AUTOMOBILES PVT LTD,1,0,0,0,0,1
1935,SHIVRAJ TRAILOR,39,29,37,94,45,244
1936,SHIV SAI ENG WORKS,0,0,0,3,4,7
1937,SHIV SHAKTI ENG. WORKS,8,1,0,0,0,9
1938,SHIV SHAKTI ENTERPRISE,7,8,0,0,0,15
1939,SHIV SHAKTI FABRICATION,3,0,0,0,0,3
1940,SHIVSHAKTI STEEL INDUSTRIES LATUR,44,25,4,81,66,220
1941,SHIV SHAKTI TRADERS,38,0,0,0,0,38
1942,SHIV TRAILOR INDUSTRIES,0,0,0,15,388,403
1943,SHOBHA ENG WORKS,2,22,14,10,20,68
1944,SHRADHA INDUSTRIES KANDHAMAL PHULBANI,38,26,0,0,0,64
1945,SHREE AMEE CONST EQUP,0,0,1,2,0,3
1946,SHREE ASHAPURI TRAILER WORKS,9,0,0,0,0,9
1947,SHREE BABA ENGINEERING WORKS,0,0,0,2,0,2
1948,SHREE BALAJI ENGINEERING WORK SHOP,0,8,23,1,0,32
1949,SHREE BHOJAL INDUSTRIES,3,0,0,0,0,3
1950,SHREE CARS PVT. LTD,0,0,0,1,0,1
1951,SHREE DEV ENGINEERING WORKS,0,1,0,0,0,1
1952,SHREE DHARTI AGRICULTURE WORKS,2,0,0,0,0,2
1953,SHREE DIPESHWARI INDUSTRIES,1,0,0,0,0,1
1954,SHREE DURGA FABRICATION COMPANY,0,6,0,1,0,7
1955,SHREE GAJALAXMI ENGINEERING WORKS BARGARH GODBHAGA,1,0,0,0,0,1
1956,SHREE GOKUL INDUSTRIES,2,0,0,0,0,2
1957,SHREE GOWRIAMMAN INDUSTRIES,0,0,0,0,3,3
1958,SHREE JAGDAMBA TROLLY,0,2,1,0,0,3
1959,SHREE JALARAM AGRI,0,0,0,2,3,5
1960,SHREEJI INDUSTRIES,2,0,0,0,0,2
1961,SHREE KRISHNA AGRO INDUSTRIES,0,0,0,1,5,6
