Maker,Year,Registrations,YoY_pct
ADIDEV TECHNOA PVT LTD,2021,34,
ADIDEV TECHNOA PVT LTD,2022,168,394.12
ADIDEV TECHNOA PVT LTD,2023,689,310.12
ADIDEV TECHNOA PVT LTD,2024,1687,144.85
ADIDEV TECHNOA PVT LTD,2025,1075,-36.28
ADISHAKTI TRACTORS,2021,186,
ADISHAKTI TRACTORS,2022,327,75.81
ADISHAKTI TRACTORS,2023,40,-87.77
ADISHAKTI TRACTORS,2024,2,-95.0
ADISHAKTI TRACTORS,2025,0,-100.0
ADISHWAR AUTO RIDE INDIA PVT LTD,2021,1870,
ADISHWAR AUTO RIDE INDIA PVT LTD,2022,1350,-27.81
ADISHWAR AUTO RIDE INDIA PVT LTD,2023,383,-71.63
ADISHWAR AUTO RIDE INDIA PVT LTD,2024,246,-35.77
ADISHWAR AUTO RIDE INDIA PVT LTD,2025,101,-58.94
ADISHWAR AUTO RIDE INDIA PVT.LTD,2021,1,
ADISHWAR AUTO RIDE INDIA PVT.LTD,2022,0,-100.0
ADISHWAR AUTO RIDE INDIA PVT.LTD,2023,1,inf
ADISHWAR AUTO RIDE INDIA PVT.LTD,2024,0,-100.0
ADISHWAR AUTO RIDE INDIA PVT.LTD,2025,0,
ADITYA AGRO INDUSTRIES,2021,61,
ADITYA AGRO INDUSTRIES,2022,41,-32.79
ADITYA AGRO INDUSTRIES,2023,63,53.66
ADITYA AGRO INDUSTRIES,2024,61,-3.17
ADITYA AGRO INDUSTRIES,2025,10,-83.61
ADITYA ENTERPRISES,2021,5,
ADITYA ENTERPRISES,2022,3,-40.0
ADITYA ENTERPRISES,2023,2,-33.33
ADITYA ENTERPRISES,2024,0,-100.0
ADITYA ENTERPRISES,2025,0,
ADITYA SAI INDUSTRIES,2021,53,
ADITYA SAI INDUSTRIES,2022,129,143.4
ADITYA SAI INDUSTRIES,2023,179,38.76
ADITYA SAI INDUSTRIES,2024,204,13.97
ADITYA SAI INDUSTRIES,2025,236,15.69
ADM TECHNOLOGIES PVT. LTD.,2021,0,
ADM TECHNOLOGIES PVT. LTD.,2022,0,
ADM TECHNOLOGIES PVT. LTD.,2023,129,inf
ADM TECHNOLOGIES PVT. LTD.,2024,305,136.43
ADM TECHNOLOGIES PVT. LTD.,2025,86,-71.8
ADRIS ELECTRIC PVT LTD,2021,65,
ADRIS ELECTRIC PVT LTD,2022,226,247.69
ADRIS ELECTRIC PVT LTD,2023,61,-73.01
ADRIS ELECTRIC PVT LTD,2024,8,-86.89
ADRIS ELECTRIC PVT LTD,2025,1,-87.5
AERODRIVE PVT LTD,2021,0,
AERODRIVE PVT LTD,2022,0,
AERODRIVE PVT LTD,2023,0,
AERODRIVE PVT LTD,2024,12,inf
AERODRIVE PVT LTD,2025,160,1233.33
AEROEAGLE AUTOMOBILES PVT LTD,2021,0,
AEROEAGLE AUTOMOBILES PVT LTD,2022,0,
AEROEAGLE AUTOMOBILES PVT LTD,2023,0,
AEROEAGLE AUTOMOBILES PVT LTD,2024,37,inf
AEROEAGLE AUTOMOBILES PVT LTD,2025,66,78.38
AFKON AUTOMOTIVES PVT LTD,2021,0,
AFKON AUTOMOTIVES PVT LTD,2022,0,
AFKON AUTOMOTIVES PVT LTD,2023,0,
AFKON AUTOMOTIVES PVT LTD,2024,165,inf
AFKON AUTOMOTIVES PVT LTD,2025,494,199.39
AFTEK MOTORS INDIA PVT LTD,2021,8,
AFTEK MOTORS INDIA PVT LTD,2022,186,2225.0
AFTEK MOTORS INDIA PVT LTD,2023,138,-25.81
AFTEK MOTORS INDIA PVT LTD,2024,39,-71.74
AFTEK MOTORS INDIA PVT LTD,2025,5,-87.18
"AFZAL ENGG WORKS,JUNAGARH",2021,487,
"AFZAL ENGG WORKS,JUNAGARH",2022,35,-92.81
"AFZAL ENGG WORKS,JUNAGARH",2023,2,-94.29
"AFZAL ENGG WORKS,JUNAGARH",2024,3,50.0
"AFZAL ENGG WORKS,JUNAGARH",2025,0,-100.0
AGI AUTO INDUSTRIES,2021,0,
AGI AUTO INDUSTRIES,2022,0,
AGI AUTO INDUSTRIES,2023,0,
AGI AUTO INDUSTRIES,2024,0,
AGI AUTO INDUSTRIES,2025,5,inf
"AGNEE IRON WORKS,BARIPADA",2021,3,
"AGNEE IRON WORKS,BARIPADA",2022,1,-66.67
"AGNEE IRON WORKS,BARIPADA",2023,0,-100.0
"AGNEE IRON WORKS,BARIPADA",2024,0,
"AGNEE IRON WORKS,BARIPADA",2025,0,
AGP ENGINEERING PRODUCTS,2021,7,
AGP ENGINEERING PRODUCTS,2022,1,-85.71
AGP ENGINEERING PRODUCTS,2023,0,-100.0
AGP ENGINEERING PRODUCTS,2024,1,inf
AGP ENGINEERING PRODUCTS,2025,0,-100.0
AGRASEN ENGINEERING WORKS,2021,14,
AGRASEN ENGINEERING WORKS,2022,1,-92.86
AGRASEN ENGINEERING WORKS,2023,0,-100.0
AGRASEN ENGINEERING WORKS,2024,0,
AGRASEN ENGINEERING WORKS,2025,0,
AGRAWAL RENEWABLE ENERGY PVT LTD,2021,1,
AGRAWAL RENEWABLE ENERGY PVT LTD,2022,1,0.0
AGRAWAL RENEWABLE ENERGY PVT LTD,2023,0,-100.0
AGRAWAL RENEWABLE ENERGY PVT LTD,2024,4,inf
AGRAWAL RENEWABLE ENERGY PVT LTD,2025,0,-100.0
AGRI KING,2021,1,
AGRI KING,2022,0,-100.0
AGRI KING,2023,0,
AGRI KING,2024,0,
AGRI KING,2025,0,
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2021,49,
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2022,55,12.24
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2023,65,18.18
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2024,127,95.38
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2025,88,-30.71
AGRO INDUSTRIES,2021,866,
AGRO INDUSTRIES,2022,259,-70.09
AGRO INDUSTRIES,2023,149,-42.47
AGRO INDUSTRIES,2024,125,-16.11
AGRO INDUSTRIES,2025,69,-44.8
AGRO TRAILERS AP312870751,2021,0,
AGRO TRAILERS AP312870751,2022,0,
AGRO TRAILERS AP312870751,2023,0,
AGRO TRAILERS AP312870751,2024,1,inf
AGRO TRAILERS AP312870751,2025,3,200.0
AHITESHAM AGRO ENGINEERING,2021,4,
AHITESHAM AGRO ENGINEERING,2022,12,200.0
AHITESHAM AGRO ENGINEERING,2023,7,-41.67
AHITESHAM AGRO ENGINEERING,2024,0,-100.0
AHITESHAM AGRO ENGINEERING,2025,0,
AHMED MOTORS,2021,24,
AHMED MOTORS,2022,105,337.5
AHMED MOTORS,2023,74,-29.52
AHMED MOTORS,2024,17,-77.03
AHMED MOTORS,2025,7,-58.82
AJANTA KRUSHI YANTRA,2021,87,
AJANTA KRUSHI YANTRA,2022,71,-18.39
AJANTA KRUSHI YANTRA,2023,95,33.8
AJANTA KRUSHI YANTRA,2024,76,-20.0
AJANTA KRUSHI YANTRA,2025,29,-61.84
AJAX ENGINEERING LTD,2021,2041,
AJAX ENGINEERING LTD,2022,1852,-9.26
AJAX ENGINEERING LTD,2023,3553,91.85
AJAX ENGINEERING LTD,2024,4514,27.05
AJAX ENGINEERING LTD,2025,3489,-22.71
AJAX FIORI ENGINEERING PVT LTD,2021,125,
AJAX FIORI ENGINEERING PVT LTD,2022,23,-81.6
AJAX FIORI ENGINEERING PVT LTD,2023,7,-69.57
AJAX FIORI ENGINEERING PVT LTD,2024,3,-57.14
AJAX FIORI ENGINEERING PVT LTD,2025,7,133.33
AJAY AGRO ENTERPRISES SAMBALPUR PARDHIAPALI,2021,0,
AJAY AGRO ENTERPRISES SAMBALPUR PARDHIAPALI,2022,0,
AJAY AGRO ENTERPRISES SAMBALPUR PARDHIAPALI,2023,0,
AJAY AGRO ENTERPRISES SAMBALPUR PARDHIAPALI,2024,0,
AJAY AGRO ENTERPRISES SAMBALPUR PARDHIAPALI,2025,1,inf
"AJAY AGRO ENTERPRISES,SBP",2021,76,
"AJAY AGRO ENTERPRISES,SBP",2022,22,-71.05
"AJAY AGRO ENTERPRISES,SBP",2023,7,-68.18
"AJAY AGRO ENTERPRISES,SBP",2024,0,-100.0
"AJAY AGRO ENTERPRISES,SBP",2025,0,
AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,2021,0,
AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,2022,1,inf
AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,2023,0,-100.0
AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,2024,9,inf
AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,2025,6,-33.33
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2021,46,
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2022,11,-76.09
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2023,9,-18.18
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2024,2,-77.78
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2025,4,100.0
AJAY ENTERPRISES,2021,32,
AJAY ENTERPRISES,2022,10,-68.75
AJAY ENTERPRISES,2023,25,150.0
AJAY ENTERPRISES,2024,9,-64.0
AJAY ENTERPRISES,2025,0,-100.0
AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,2021,0,
AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,2022,0,
AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,2023,0,
AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,2024,6,inf
AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,2025,62,933.33
AJAY MOTORS PRIVATE LIMITED,2021,0,
AJAY MOTORS PRIVATE LIMITED,2022,34,inf
AJAY MOTORS PRIVATE LIMITED,2023,190,458.82
AJAY MOTORS PRIVATE LIMITED,2024,195,2.63
AJAY MOTORS PRIVATE LIMITED,2025,146,-25.13
AJIT ENGINEERING WORKS,2021,0,
AJIT ENGINEERING WORKS,2022,0,
AJIT ENGINEERING WORKS,2023,6,inf
AJIT ENGINEERING WORKS,2024,1,-83.33
AJIT ENGINEERING WORKS,2025,0,-100.0
AJS MOTORCYCLES LTD,2021,0,
AJS MOTORCYCLES LTD,2022,1,inf
AJS MOTORCYCLES LTD,2023,2,100.0
AJS MOTORCYCLES LTD,2024,0,-100.0
AJS MOTORCYCLES LTD,2025,0,
AKAL AGRO INDUSTRY,2021,0,
AKAL AGRO INDUSTRY,2022,4,inf
AKAL AGRO INDUSTRY,2023,16,300.0
AKAL AGRO INDUSTRY,2024,40,150.0
AKAL AGRO INDUSTRY,2025,14,-65.0
AKASH AGRO INDUSTRIES,2021,24,
AKASH AGRO INDUSTRIES,2022,6,-75.0
AKASH AGRO INDUSTRIES,2023,1,-83.33
AKASH AGRO INDUSTRIES,2024,0,-100.0
AKASH AGRO INDUSTRIES,2025,0,
AKASH EQUIPMENTS & MACHINERIES (P) LTD.,2021,0,
AKASH EQUIPMENTS & MACHINERIES (P) LTD.,2022,0,
AKASH EQUIPMENTS & MACHINERIES (P) LTD.,2023,0,
AKASH EQUIPMENTS & MACHINERIES (P) LTD.,2024,0,
AKASH EQUIPMENTS & MACHINERIES (P) LTD.,2025,1,inf
AKASH KRISHI YANTRA,2021,1,
AKASH KRISHI YANTRA,2022,35,3400.0
AKASH KRISHI YANTRA,2023,1,-97.14
AKASH KRISHI YANTRA,2024,0,-100.0
AKASH KRISHI YANTRA,2025,0,
AKASH TRAILOR,2021,273,
AKASH TRAILOR,2022,56,-79.49
AKASH TRAILOR,2023,35,-37.5
AKASH TRAILOR,2024,27,-22.86
AKASH TRAILOR,2025,26,-3.7
AKG INTERNATIONAL,2021,0,
AKG INTERNATIONAL,2022,0,
AKG INTERNATIONAL,2023,138,inf
AKG INTERNATIONAL,2024,1837,1231.16
AKG INTERNATIONAL,2025,1433,-21.99
AKMAAN MULTI MECH MACHINES,2021,0,
AKMAAN MULTI MECH MACHINES,2022,1,inf
AKMAAN MULTI MECH MACHINES,2023,0,-100.0
AKMAAN MULTI MECH MACHINES,2024,2,inf
AKMAAN MULTI MECH MACHINES,2025,3,50.0
AKSHAR AGRI TECH,2021,0,
AKSHAR AGRI TECH,2022,1,inf
AKSHAR AGRI TECH,2023,0,-100.0
AKSHAR AGRI TECH,2024,0,
AKSHAR AGRI TECH,2025,0,
AKSHAR AGRO LNDUSTRIES,2021,1,
AKSHAR AGRO LNDUSTRIES,2022,0,-100.0
AKSHAR AGRO LNDUSTRIES,2023,0,
AKSHAR AGRO LNDUSTRIES,2024,0,
AKSHAR AGRO LNDUSTRIES,2025,0,
AKSHAR STEEL,2021,7,
AKSHAR STEEL,2022,8,14.29
AKSHAR STEEL,2023,0,-100.0
AKSHAR STEEL,2024,0,
AKSHAR STEEL,2025,0,
AKSHAY INDUSTRIES,2021,3,
AKSHAY INDUSTRIES,2022,12,300.0
AKSHAY INDUSTRIES,2023,0,-100.0
AKSHAY INDUSTRIES,2024,0,
AKSHAY INDUSTRIES,2025,0,
AKSHAYA AGRI EQUIPMENT & SERVICES PVT LTD,2021,0,
AKSHAYA AGRI EQUIPMENT & SERVICES PVT LTD,2022,0,
AKSHAYA AGRI EQUIPMENT & SERVICES PVT LTD,2023,1,inf
AKSHAYA AGRI EQUIPMENT & SERVICES PVT LTD,2024,0,-100.0
AKSHAYA AGRI EQUIPMENT & SERVICES PVT LTD,2025,0,
ALBEDO VISION PVT LTD,2021,0,
ALBEDO VISION PVT LTD,2022,14,inf
ALBEDO VISION PVT LTD,2023,39,178.57
ALBEDO VISION PVT LTD,2024,6,-84.62
ALBEDO VISION PVT LTD,2025,1,-83.33
ALIED E MOBILITY PVT LTD,2021,0,
ALIED E MOBILITY PVT LTD,2022,0,
ALIED E MOBILITY PVT LTD,2023,0,
ALIED E MOBILITY PVT LTD,2024,71,inf
ALIED E MOBILITY PVT LTD,2025,171,140.85
ALL TERRAIN CRANE,2021,545,
ALL TERRAIN CRANE,2022,833,52.84
ALL TERRAIN CRANE,2023,1278,53.42
ALL TERRAIN CRANE,2024,1136,-11.11
ALL TERRAIN CRANE,2025,1011,-11.0
ALLENTTI MOTORS PVT LTD,2021,1,
ALLENTTI MOTORS PVT LTD,2022,0,-100.0
ALLENTTI MOTORS PVT LTD,2023,59,inf
ALLENTTI MOTORS PVT LTD,2024,265,349.15
ALLENTTI MOTORS PVT LTD,2025,71,-73.21
ALLFINE INDUSTRIES PVT LTD,2021,2387,
ALLFINE INDUSTRIES PVT LTD,2022,5928,148.35
ALLFINE INDUSTRIES PVT LTD,2023,10752,81.38
ALLFINE INDUSTRIES PVT LTD,2024,9290,-13.6
ALLFINE INDUSTRIES PVT LTD,2025,1332,-85.66
ALPHA SERVICES,2021,13,
ALPHA SERVICES,2022,6,-53.85
ALPHA SERVICES,2023,28,366.67
ALPHA SERVICES,2024,11,-60.71
ALPHA SERVICES,2025,7,-36.36
ALTIER ELECTRIC VEHICLES PVT LTD,2021,385,
ALTIER ELECTRIC VEHICLES PVT LTD,2022,1666,332.73
ALTIER ELECTRIC VEHICLES PVT LTD,2023,2521,51.32
ALTIER ELECTRIC VEHICLES PVT LTD,2024,2926,16.07
ALTIER ELECTRIC VEHICLES PVT LTD,2025,1442,-50.72
ALTIGREEN PROPULSION LABS PVT LTD,2021,146,
ALTIGREEN PROPULSION LABS PVT LTD,2022,699,378.77
ALTIGREEN PROPULSION LABS PVT LTD,2023,2519,260.37
ALTIGREEN PROPULSION LABS PVT LTD,2024,1090,-56.73
ALTIGREEN PROPULSION LABS PVT LTD,2025,49,-95.5
ALTIUS EV TECH PVT LTD,2021,0,
ALTIUS EV TECH PVT LTD,2022,67,inf
ALTIUS EV TECH PVT LTD,2023,37,-44.78
ALTIUS EV TECH PVT LTD,2024,19,-48.65
ALTIUS EV TECH PVT LTD,2025,3,-84.21
ALTIUS TECHNOLOGIES,2021,29,
ALTIUS TECHNOLOGIES,2022,9,-68.97
ALTIUS TECHNOLOGIES,2023,13,44.44
ALTIUS TECHNOLOGIES,2024,11,-15.38
ALTIUS TECHNOLOGIES,2025,11,0.0
ALVI AUTO,2021,0,
ALVI AUTO,2022,0,
ALVI AUTO,2023,0,
ALVI AUTO,2024,14,inf
ALVI AUTO,2025,146,942.86
AMAC INNOVATIVES,2021,4,
AMAC INNOVATIVES,2022,1,-75.0
AMAC INNOVATIVES,2023,0,-100.0
AMAC INNOVATIVES,2024,2,inf
AMAC INNOVATIVES,2025,0,-100.0
AMAN AGRO INDUSTRIES,2021,88,
AMAN AGRO INDUSTRIES,2022,62,-29.55
AMAN AGRO INDUSTRIES,2023,48,-22.58
AMAN AGRO INDUSTRIES,2024,28,-41.67
AMAN AGRO INDUSTRIES,2025,1,-96.43
AMAN AUTOMOBILES,2021,64,
AMAN AUTOMOBILES,2022,30,-53.12
AMAN AUTOMOBILES,2023,14,-53.33
AMAN AUTOMOBILES,2024,74,428.57
AMAN AUTOMOBILES,2025,8,-89.19
AMAN ELECTRIC VEHICLES,2021,63,
AMAN ELECTRIC VEHICLES,2022,39,-38.1
AMAN ELECTRIC VEHICLES,2023,162,315.38
