S No,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
1236,SHAKTI INDUSTRIES,0,0,0,0,1,0,0,0,1
1237,SHAKTIMAN AGRO INDUSTRIES,14,14,16,13,13,5,8,1,84
1238,SHAKTTI CONSTRUCTIONS EQUIPMENT PVT LTD,50,37,51,47,50,57,15,1,308
1239,SHALYA AUTO SALES PVT LTD,56,19,33,73,56,30,25,11,303
1240,SHAMMI ELECTRONICS,3,3,2,6,8,7,10,5,44
1241,SHARMA AND SHARMA ENGG WORKS BARGARH RLY STATION,3,1,0,1,2,2,0,1,10
1242,SHEHALPREET ENGG WORKS,3,2,1,1,1,2,0,1,11
1243,SHEMA E- VEHCILE & SOLAR PVT LTD,0,5,91,100,0,0,0,0,196
1244,SHIGAN EVOLTZ LTD,23,67,149,90,152,78,53,4,616
1245,SHINE METAL UDYOG PVT LTD (UNIT- II),10,5,11,18,32,4,11,3,94
1246,SHINME ELECTRICAL VEHICLE PVT LTD,6,5,11,21,7,9,17,2,78
1247,SHIVA ENTERPRISES,20,21,18,28,24,21,22,12,166
1248,SHIVA GAYATHRI ENGG WORKS AP29070614,0,0,0,0,0,0,3,1,4
1249,SHIVA GAYATRI ENGG WORKS,11,21,12,6,0,0,0,0,50
1250,"SHIV AGRO ,AGENCY",0,1,2,0,0,0,0,0,3
1251,SHIV AGRO INDUSTRIES,44,19,25,23,33,15,9,2,170
1252,SHIVAJI AGRO INDUSTRIES,3,1,0,0,0,0,2,1,7
1253,SHIVAM AGRICULTURE WORKS,0,0,0,19,8,3,5,0,35
1254,SHIVASHAKTHI ENG WORKS,4,1,3,4,2,5,2,3,24
1255,SHIV ENTERPRISES,25,8,21,36,43,20,16,4,173
1256,SHIVGANGA ECOGREEN LLP,115,102,111,52,34,45,50,11,520
1257,SHIVKRUPA TRAILOR,3,1,3,0,0,0,2,0,9
1258,SHIV OM INDIA,8,18,16,10,23,35,29,5,144
1259,SHIVRAJ AUTOMOBILES PVT LTD,0,0,0,1,0,0,0,0,1
1260,SHIVRAJ TRAILOR,2,0,2,18,3,14,0,0,39
1261,SHIV SHAKTI ENG. WORKS,1,0,2,3,0,1,1,0,8
1262,SHIV SHAKTI ENTERPRISE,0,1,3,1,1,1,0,0,7
1263,SHIV SHAKTI FABRICATION,0,0,0,0,0,0,1,2,3
1264,SHIVSHAKTI STEEL INDUSTRIES LATUR,12,3,4,3,3,0,17,2,44
1265,SHIV SHAKTI TRADERS,3,9,6,1,1,9,9,0,38
1266,SHOBHA ENG WORKS,0,0,0,0,1,0,0,1,2
1267,SHRADHA INDUSTRIES KANDHAMAL PHULBANI,12,3,13,2,3,0,3,2,38
1268,SHREE ASHAPURI TRAILER WORKS,0,0,5,1,3,0,0,0,9
1269,SHREE BHOJAL INDUSTRIES,0,0,0,0,0,1,2,0,3
1270,SHREE DHARTI AGRICULTURE WORKS,0,1,1,0,0,0,0,0,2
1271,SHREE DIPESHWARI INDUSTRIES,0,0,0,0,0,1,0,0,1
1272,SHREE GAJALAXMI ENGINEERING WORKS BARGARH GODBHAGA,0,0,1,0,0,0,0,0,1
1273,SHREE GOKUL INDUSTRIES,0,0,0,0,0,0,2,0,2
1274,SHREEJI INDUSTRIES,0,0,1,0,0,0,0,1,2
1275,SHREE KRISHNA ENTERPRISE,0,0,0,0,0,0,2,0,2
1276,SHREE KULDEVI AGRO INDUSTRIES,0,0,2,4,0,0,4,3,13
1277,SHREE MAHALAXMI AGRO WORKS,0,0,0,0,0,4,4,0,8
1278,SHREE MARUT E-AGROTECH PVT LTD,1,0,0,0,0,0,0,0,1
1279,SHREE MARUTI NANDAN BUSINESSS (P) LTD,11,5,2,9,24,11,11,3,76
1280,SHREE PRABHAT AGRO INDUSTRIES,0,0,1,1,3,0,1,1,7
1281,SHREE RADHE ENGINEERING BARGARH STATION ROAD,0,0,0,0,1,0,0,0,1
1282,SHREE RAM AGRO INDUSTRIES,0,0,1,13,13,3,4,2,36
1283,SHREE RAM ENGINEERING WORKS,0,0,2,0,0,1,0,1,4
1284,SHREE SAI AGRO ENGINEERING WORKS,0,0,0,0,1,0,0,1,2
1285,SHREE SHYAM AGRO PRODUCTS BARGARH RAILWAY STATION,3,1,1,1,0,2,1,0,9
1286,SHREE SHYAM INDUSTRIES BARGARH TELENTIKRA,0,0,1,3,0,0,1,0,5
1287,SHREE SIDHIVINAYAK AUTO,21,10,16,45,62,28,18,6,206
1288,SHREE SWASTIK ENGINEERING CUTTACK MADHUPATNA,6,10,21,8,10,7,8,3,73
1289,SHREE VISHWAKARMA TRAILER WORK,0,1,2,0,2,1,0,0,6
1290,SHREYA ENGINEERS,0,0,1,2,0,0,0,0,3
1291,SHRI BARSANA E-VEHICLES PVT LTD,473,419,447,474,404,415,418,135,3185
1292,SHRI DATTA AGRO INDUSTRIES,7,11,3,7,0,5,25,0,58
1293,SHRI GANESH ENGINERRING WORKS,1,0,0,0,0,3,0,0,4
1294,SHRI KALIKA AGRICULTURE EQUIPMENT,0,0,0,0,0,0,1,1,2
1295,SHRI KRISHNA INDUSTRIES,1,3,3,6,0,0,0,0,13
1296,SHRI LAXMI ENGINEERING WORKS,1,8,8,4,0,0,0,0,21
1297,SHRI MAHALAXMI AGRO IND,0,1,1,2,0,0,0,0,4
1298,SHRI NAMO ELECTRIC AUTOMOTIVE,98,78,71,62,97,49,56,13,524
1299,SHRI NANDI TRAILER WORKS,0,0,0,0,0,1,0,0,1
1300,SHRINIWAS AGRO INDUSTRIES,5,1,4,2,2,1,4,1,20
1301,SHRIRAJ ELECTRIC VEHICLES,88,72,82,85,75,91,87,36,616
1302,SHRI SHANKAR ENG WORKS,0,0,0,0,1,0,0,0,1
1303,SHRI SHIVAJI ENG WORKS,4,4,3,4,5,2,1,0,23
1304,SHRI SHIVSHIDHA AGRI IMPLIMENT,4,0,0,0,1,0,0,0,5
1305,SHRI SHYAM ENGG WORKS,3,5,1,1,0,0,0,0,10
1306,SHRI SWASTIK ENGG,2,0,2,1,2,0,0,0,7
1307,SHRI TIRUMALA ENGINEERING WORKS,18,16,19,21,0,0,0,0,74
1308,SHRI VADESHWAR TRAILORS,0,0,3,7,3,0,0,0,13
1309,SHRI VENKATARAMANA TRAILER WORK,1,1,0,0,0,0,0,0,2
1310,SHRI VENKATESHWARA ENGINEERING WORKS,1,0,0,0,0,0,0,0,1
1311,SHRI VENKATESHWAR AGRO INDUSTRIES,0,1,0,0,0,0,0,0,1
1312,SHRI VIJAY ENGINEERING WORKS,0,0,0,2,0,0,0,0,2
1313,SHRI VINAYAK INDUSTRIES,5,4,3,4,0,0,0,0,16
1314,SHRI VISHWAKARMA AUTOMOBILE,14,18,10,22,5,4,2,1,76
1315,SHUBHAM MANUFACTURER,0,1,0,0,5,0,0,0,6
1316,SHUBHLAKSHMI AGRO INDUSTRIES,0,0,0,1,0,0,4,0,5
1317,SHUBHMARUTI AGRITECH PVT LTD,0,0,0,0,0,1,0,0,1
1318,SHYAM AGRO INDUSTRIES,0,0,2,0,0,1,0,0,3
1319,SIDANA INDUSTRIES,0,0,0,0,3,4,15,5,27
1320,SIDDHAKALA ENGINEERING AND WELDING WORKS,0,5,2,0,0,0,4,0,11
1321,SIDHI DURGA ENGINEERING,1,0,0,0,1,0,0,0,2
1322,SIDHI DURGA ENGINEERING TRAILOR CUTTACK MADHUPATAN,11,6,4,6,9,4,4,0,44
1323,SIMPLEENERGY PVT LTD,291,225,386,271,353,399,470,156,2551
1324,SINGHAL ENTERPRISES,16,7,12,16,22,13,13,3,102
1325,SINGH AUTOMOBILES,83,59,112,112,120,72,74,16,648
1326,SINGH ENGINEERING WORKS BARGARH RAILWAY STATION,3,1,5,2,0,1,0,0,12
1327,SIRF INDIA VEHICLES PVT LTD,21,10,16,31,11,29,7,4,129
1328,SITARAM WELDING WORKS,0,1,3,0,1,0,0,0,5
1329,SIWACH STEEL PVT LTD,0,0,0,0,0,0,2,0,2
1330,SIX SENSES AUTOMOTIVE PVT LTD,1,1,5,5,5,1,9,1,28
1331,SKODA AUTO AS,9,2,2,1,0,2,0,0,16
1332,SKODA AUTO INDIA PVT LTD,0,0,0,0,0,1,0,0,1
1333,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,9509,6747,9445,10032,8717,7932,8077,2720,63179
1334,SKS TRADE INDIA PVT LTD,807,689,851,824,840,803,929,190,5933
1335,SKYBOLT INDUSTRIES PVT LTD,0,0,0,0,31,27,42,0,100
1336,SKYRIDE AUTOMOTIVE,0,2,0,0,0,0,1,0,3
1337,SKYY RIDER ELECTRIC PRIVATE LIMITED,17,17,17,10,17,3,7,5,93
1338,SMAP VEHICLES (IMPORTER: ELEGO MOTORS),1,1,0,3,2,1,0,0,8
1339,SMARDA INDUSTRY (IMPORTER: RHYNO),2,1,0,0,0,0,0,0,3
1340,SMART ELECTRO MOTORS,8,7,3,5,6,2,1,0,32
1341,S.M ELECTRIC VEHICLE,19,14,18,63,22,19,19,6,180
1342,SM INTERNATIONAL,0,0,0,16,14,0,0,0,30
1343,SMITH MOTORS PVT LTD,0,0,0,0,0,0,1,0,1
1344,SML ISUZU LTD,715,835,1071,1249,1568,1579,1398,364,8779
1345,SMV GREEN SOLUTIONS PVT LTD,0,0,0,24,16,9,25,6,80
1346,"S.N.ENGINEERING, CUTTACK",0,1,0,0,0,0,0,0,1
1347,SN SOLAR ENERGY,32,28,45,36,36,31,37,7,252
1348,SOKUDO ELECTRIC INDIA PVT LTD,48,54,10,45,40,43,62,19,321
1349,SOLANKE ENGINEERING WORKS,1,0,5,0,0,0,0,0,6
1350,SONALIKA INTERNATIONAL TRACTORS LIMITED,2,0,1,2,4,0,1,0,10
1351,SONAL INDUSTRIES,0,0,1,0,1,0,0,0,2
1352,SONI E VEHICLE PVT LTD,0,1,1,0,0,0,0,0,2
1353,SPEED AUTO TECH,1,4,1,12,7,1,0,0,26
1354,SPEEDWAYS ELECTRIC,0,0,0,0,0,1,0,0,1
1355,SPEEGO VEHICLES CO PVT LTD,262,198,190,182,177,172,176,28,1385
1356,S P TRADING BBSR BALIANTA,1,0,5,2,3,1,3,0,15
1357,SRD RENEWABLES,179,110,139,330,187,152,148,40,1285
1358,SRI AGENCY AND FABRICATOR GANJAM BERHAMPUR,0,0,1,0,0,0,0,0,1
1359,"SRI AGENCY & FABRICATION,GOPINATH NAGAR,BERHAMPUR",0,0,1,0,0,0,0,0,1
1360,SRI AVP ENGINEERING WORKS BARGARH RENGALICAMP,1,0,5,13,4,1,0,0,24
1361,SRI GANESH ENGINNERING WORKS AP56240472,0,0,0,0,1,5,1,2,9
1362,SRI GAYATHRI ENGINEERING WORKS AP1014203799,0,0,0,0,0,0,0,1,1
1363,SRI GAYATRI ENGINEERING WORKS AP235532582,0,0,0,0,0,1,2,0,3
1364,SRI GOWRI  ENGINEERING WORKS AP203623577,0,0,0,0,0,0,1,0,1
1365,SRI KALKI BHAGAVAN ENGINEERING WORKS AP213191551,0,0,0,0,0,0,1,0,1
1366,SRI LAKSHMI ENGINEERING WORKS AP203583506,0,0,0,0,0,0,1,0,1
1367,SRI LAKSHMI GANESH ENGINEERING WORKS AP105023461,0,0,0,0,0,0,1,1,2
1368,SRI NAVADURGA AGRO WORKS AP193673558,0,0,0,0,0,0,0,1,1
1369,SRINIVAS ENGINEERING WORKS RAYAGADA,0,0,1,2,2,1,0,0,6
1370,SRINIVAS E VEHICLE,1,1,3,7,0,1,0,0,13
1371,SRI PADMAVATHI ENGINEERING WORKS AP203572915,0,0,0,0,0,2,1,0,3
1372,SRIRAGHAVAKRISHNASMALLSCALEENGINEERING AP213033561,0,0,0,0,0,1,0,1,2
1373,SRI RAVI ENGINEERING WORKS AP117792684,0,0,0,0,0,2,6,1,9
1374,SRI SAI AGRICULTURAL EQUIPMENT,2,2,0,0,0,0,1,0,5
1375,SRI SAI KIRAN ENGG WORKS AP203622972,0,0,0,0,0,0,1,0,1
1376,SRI SANKAR ENGINEERING WORKS SAMBALPUR MANESWAR,9,15,9,7,15,3,0,1,59
1377,SRI SEETHA RAMA SMALL SCALE INDUSTRIES AP56151245,0,0,0,0,0,1,0,0,1
1378,SRI SIVA DURGA AGRO INDUSTRIES AP56094199,0,0,0,0,0,0,2,0,2
1379,SRI SIVA SIVANI AGRO INDUSTRIES AP203394137,0,0,0,0,0,0,7,0,7
1380,SRI SRI MARUTHI ENGINEERING WORKS AP235744011,1,1,0,3,0,0,0,0,5
1381,SRI SRINIVASA AUTO ENGNEERING WORKS AP105381065,0,0,0,0,0,2,1,0,3
1382,SRI SRINIVASA ENGINEERING WORKS AP213071506,0,0,0,0,3,2,2,0,7
1383,SRI SURYA ENGINEERING AP514581410,0,0,0,0,0,0,1,0,1
1384,SRIVARU MOTORS PVT LTD,1,1,1,1,0,3,1,0,8
1385,SRI VENKATALAKSHMI ENGINEERING WORKS AP203570431,0,0,0,0,0,0,2,1,3
1386,SRI VENKATA SAI ENGINEERING WORKS AP203513559,0,0,0,0,0,1,6,1,8
1387,SRI VENKATESWARA ENGINEERING WORKS,0,0,1,0,0,0,0,0,1
1388,SRI VENKATESWARA ENGINEERING WORKS AP105380358,0,0,0,0,0,0,1,0,1
1389,SRI VENKATESWARA ENGINEERING WORKS AP313381731,0,0,0,0,0,0,0,1,1
1390,SRIVENKATESWARAENGINEERINGWORKS AP315793529,0,0,0,0,0,1,2,0,3
1391,SRI VIJAYALAKSHMI AGRO INDUSTRIES AP235531371,0,0,0,0,0,0,1,0,1
1392,SRIVIJAY E-VEHICLES PVT LTD,0,0,0,0,0,2,15,1,18
1393,SRI VINAYAKA ENGINEERING WORKS AP56120493,0,0,0,0,0,0,2,0,2
1394,S.S. AGRO TECH,0,1,1,3,0,1,0,0,6
1395,SSB INDISTRIES,120,101,88,103,100,144,146,30,832
1396,SSEV ENTERPRISES PRIVATE LIMITED,77,50,68,143,268,167,121,30,924
1397,S S GLOBAL,8,0,4,8,11,7,0,4,42
1398,SSV TECHNOLOGIES,0,0,0,0,0,2,0,0,2
1399,STANDARD AGRICULTURE WORKS(R),0,1,0,0,1,0,0,0,2
1400,STANDARD COMBINES PVT LTD,0,1,1,0,1,0,0,0,3
1401,STANDARD CORPORATION INDIA LTD,25,13,10,10,23,24,13,4,122
1402,STAR BULL E MOTORS,51,43,61,161,122,46,64,12,560
1403,STAR IGLOBAL AUTOMOTIVE PVT LTD,15,21,21,8,14,4,7,0,90
1404,STAR INDUSTRIES,5,1,1,14,14,11,13,3,62
1405,STAR SMART BIKES PVT LTD,0,0,0,0,0,0,4,0,4
1406,STAR WELDING WORKS,0,0,0,1,0,1,1,0,3
1407,STRENGTH AUTOELECTRIC PVT LTD,38,41,42,47,38,41,59,10,316
1408,SUBHADRA ENGINEERING CUTTACK NUAPADA,12,6,5,9,7,1,5,0,45
1409,SUBHADRA ENGINEERING NUAPADA,3,0,0,1,2,0,0,0,6
1410,SUBHAM ENGINEERING BALASORE BALIAPAL,4,2,10,8,10,5,4,1,44
1411,SUBRAHMANYESWARA AGRO INDUSTRIES AP105380107,0,0,0,0,0,1,3,0,4
1412,SUBRAHMANYESWARA ENGG WORKS AP235530208,0,0,0,0,0,3,3,0,6
1413,SUBRAMANYESWARA INDUSTRIES,6,7,6,1,0,0,0,0,20
1414,SUDHA ENGINEERING WORKS,0,1,1,1,0,0,0,0,3
1415,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,40,27,45,75,106,35,27,9,364
1416,SUKHDEV AGRO INDUSTRIES,0,1,0,0,0,0,0,0,1
1417,SUKHWINDERA AGRO INDUSTRIES,0,0,0,2,0,1,0,0,3
1418,SUMEC CO LTD (IMPORTER: ROUTE & MARS EV LLP),0,0,0,1,0,0,0,0,1
1419,SUMFONL AUTO TRADERS PVT LTD,11,10,10,14,14,11,13,4,87
1420,SUNANDA GREENTECH PVT LTD,34,34,22,18,32,14,33,6,193
1421,SUNARIYA MOTORS PVT LTD,3,0,0,0,0,0,0,0,3
1422,SUNIL AGRO ENGINEERING WORKS,2,0,0,0,0,0,0,0,2
1423,SUNIL AGRO ENGINEERING WORKS ANGUL PANCHAMAHALA,1,0,0,2,0,1,1,2,7
1424,SUN INDUSTRIES,50,24,38,59,69,55,57,9,361
1425,SUNJET ENERGY PVT LTD,0,0,1,1,1,1,5,1,10
1426,SUNSET TRADE PVT LTD,6,2,1,2,2,2,7,0,22
1427,SUNSHINE TECHNOLOGIES,7,12,1,45,12,0,3,0,80
1428,SUNULTRA POWER SOLUTIONS PVT LTD,4,1,1,1,2,4,4,0,17
1429,SUPERECO AUTOMOTIVE CO,16,11,7,7,9,18,3,0,71
1430,SUPER METRO INDUSTRIES,132,81,99,139,152,106,135,22,866
1431,SUPER POWER MOTORS,12,10,14,33,21,12,14,5,121
1432,SUPER STANDARD AGRO COMBINE,3,2,2,1,7,1,1,0,17
1433,SUPERTECH EV LIMITED,206,150,203,170,188,153,181,38,1289
1434,SUPER TECHNO AUTOMOTIVE LLP,8,2,6,25,33,23,30,7,134
1435,SUPREME SALES AGENCY,12,10,23,39,35,35,33,24,211
1436,SUPREME SMART POWER PVT LTD,28,20,29,10,6,6,1,1,101
1437,SURAJ ENGINEERING WORKS,2,0,4,0,4,0,0,0,10
1438,SURINDERA AGRO INSDUSTRIES,14,26,37,18,16,21,11,2,145
1439,SURINDERA COMBINES PVT LTD,0,0,1,0,0,0,0,0,1
1440,SURJA AUTOMOTIVE PVT LTD,0,0,0,0,0,0,1,0,1
1441,SURYA INTERNATIONAL,0,1,0,1,4,2,0,0,8
1442,SURYA MOTORS,0,0,0,1,0,0,0,0,1
1443,SURYA STEEL WORKS,0,0,0,0,6,0,0,0,6
1444,SUZUKI MOTORCYCLE INDIA PVT LTD,88897,77291,84945,92491,88178,85833,88209,26222,632066
1445,SVS ENTERPRISES,2,5,0,2,0,0,2,0,11
1446,SWADESH MOTORS AND TRACTORS LTD,0,0,0,1,0,0,0,0,1
1447,SWAMI AGRO TECH,0,1,1,0,1,0,0,0,3
1448,SWAMI ENGINEERING WORKS,0,2,0,0,0,0,0,0,2
1449,SWARAJ AUTOMOTIVES LTD,0,0,0,0,3,2,0,0,5
1450,SWARNCHAKRA AUTOMOBILES PVT LTD,3,4,2,4,2,0,1,0,16
1451,SWASTIK,21,0,0,0,8,2,5,0,36
1452,SWASTIK ENGINEERING WORKS,0,0,0,0,0,1,5,0,6
1453,SWASTIK INDUSTRIES,0,0,3,2,0,0,1,0,6
1454,SWITCH MOBILITY AUTOMOTIVE LTD,201,176,166,35,129,169,115,52,1043
1455,SYAN AGRO INDUSTRY,6,8,6,11,6,9,2,1,49
1456,SYNDICATE AUTO COMPONENTS,20,14,8,20,14,11,20,8,115
1457,TAFE LIMITED,10845,6580,7067,6847,7507,9815,9651,3391,61703
1458,TAMARIA VENTURES,2,0,0,0,0,0,0,0,2
1459,TAO POWER PRIVATE LIMITED,0,0,1,1,0,1,0,0,3
1460,TARA MAA MACHINERY,14,10,8,17,14,4,7,5,79
1461,TARLE CONSTRUCTION EQUIPMENTS PVT LTD,2,1,5,0,2,3,0,0,13
1462,TATA ADVANCED SYSTEMS LTD,106,71,69,36,10,5,31,27,355
1463,TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD,116,127,133,144,165,325,23,13,1046
1464,TATA INTERNATIONAL VEHICLE APPLICATIONS PVT LTD,10,0,15,15,61,14,2,10,127
1465,TATA MOTORS LTD,32450,27959,31811,32001,27471,25758,26911,8199,212560
1466,TATA MOTORS PASSENGER VEHICLES LTD,48818,34772,43748,39029,31683,29578,33057,7122,267807
1467,TATA PASSENGER ELECTRIC MOBILITY LTD,5296,4002,4962,4792,4623,4944,6137,1521,36277
1468,TAURUS ELECTRIC VEHICLES,12,4,7,11,10,14,16,2,76
1469,TEJAS ENERGY,6,4,3,12,7,8,5,2,47
1470,TEREX EQUIPMENT PVT LTD,2,0,0,0,0,0,0,0,2
1471,TEREX INDIA PRIVATE LIMITED,15,12,14,3,11,22,4,1,82
1472,TERRA MOTORS INDIA PVT LTD,635,583,729,570,869,816,1014,222,5438
1473,THAVE ENTERPRISES,14,8,13,5,14,6,29,3,92
1474,THIRUMALA ENGINEERING WORKS AP29071505,0,0,0,0,0,0,2,1,3
1475,THUKRAL ELECTRIC BIKES PVT LTD,786,607,565,647,532,522,468,137,4264
1476,TIANJIN DFXK PETROLEUM MACHINERY CO. LTD.,0,0,0,0,0,1,0,0,1
1477,TI CLEAN MOBILITY PVT LTD,560,532,539,505,499,487,597,157,3876
1478,TIGER AUTOMOBILES COMPANY,0,1,1,3,2,2,2,1,12
1479,TII INDIA PVT LTD,11,0,16,6,5,6,4,0,48
1480,TIL LIMITED,1,0,0,0,0,1,0,0,2
1481,TIL LTD,1,2,2,2,1,0,0,0,8
1482,TIRANGA AUTOTECH INDIA PVT LTD,0,1,2,0,2,6,4,1,16
1483,TIRTH AGRO INDUSTRY,0,0,2,14,12,5,3,2,38
1484,TIRTH AGRO TECHNOLOGY PVT LTD,44,25,49,23,31,10,17,3,202
1485,TIRTH HYGIENE TECHNOLOGY PVT LTD,0,0,0,0,2,0,0,0,2
1486,TIRUPATI DISTRIBUTOR,3,0,5,0,0,0,0,0,8
1487,TIVOLT ELECTRIC VEHICLES PVT LTD,6,5,3,10,17,5,17,4,67
1488,TOGOR ENGINEERING WORKS,2,0,2,0,0,0,0,0,4
1489,TOP TEAM MACHINES PVT LTD,87,88,83,179,134,126,109,9,815
1490,TOYOTA HIACE GL COMMUTER,3,1,2,1,1,0,1,0,9
1491,TOYOTA KIRLOSKAR MOTOR PVT LTD,30986,23343,25434,25684,23869,24087,26019,7657,187079
1492,TOYOTA MATERIAL HANDLING INDIA PVT LTD,21,10,22,23,15,48,12,0,151
1493,TPS INFRASTRUCTURE LTD,2,6,3,5,2,1,5,0,24
1494,TRANSPORT ENGINEERING SOLUTIONS INDIA PVT LTD,2,0,8,2,0,8,2,0,22
1495,TRATEC ENGINEERS PVT LTD,6,7,10,4,0,2,2,1,32
1496,TRATICO ENGINEERING INDIA PVT LTD,3,0,2,0,0,1,0,0,6
1497,TRIMURTI AGRO INDUSTRIES,2,1,2,1,0,1,1,0,8
1498,TRIMURTI INDUSTRIES,0,1,1,1,1,1,0,0,5
1499,TRIMURTI TRAILER,14,12,14,5,1,4,24,3,77
1500,TRINITY ELECTRIC VEHICLES PVT LTD,17,8,10,10,5,3,21,0,74
1501,TRISHIKA INDUSTRIES,8,6,8,12,2,5,3,1,45
1502,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,89,76,70,81,78,52,55,12,513
1503,TRUPART AUTOMOTIVE INDIA PVT LTD,0,0,2,0,0,0,0,0,2
1504,TSM ENGINEERING PVT LTD,26,22,12,15,16,17,16,10,134
1505,TSR TRADE COM,0,0,0,0,4,0,1,0,5
1506,TUFAN MOTORS PVT LTD,48,58,75,76,46,65,56,21,445
1507,T U K INDUSTRIES,381,318,378,554,561,365,362,80,2999
1508,TULJABHAWANI AGRO INDUSTRIES,0,0,0,0,0,1,0,0,1
1509,TULSI TRAILER,1,0,2,0,1,1,0,0,5
1510,TUNWAL E MOTORS PVT LTD,0,1,0,0,0,0,0,0,1
1511,TVS MOTOR COMPANY LTD,292598,259165,284586,315116,314673,287291,274845,79595,2107869
1512,TWASHTRE AUTOMOTIVE PVT LTD,1,4,0,0,4,11,5,0,25
1513,TWINKLE TRADCOM PVT LTD,357,209,161,142,124,95,201,28,1317
1514,TWO FRIENDS AUTO ELECTRIC PVT LTD,270,282,323,269,313,214,227,42,1940
1515,TYAGI AGROTECH COMPANY,1,0,0,0,0,0,0,0,1
1516,TYST DRIVE INDIA PVT LTD,0,2,0,0,3,0,0,0,5
1517,UK MODEN (IMPORTER: BIG BULL TRADER),0,1,0,0,0,0,0,0,1
1518,UK MODEN (IMPORTER: ELTHOR EV PVT LTD),0,1,0,0,0,1,0,0,2
1519,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,79,51,61,91,93,86,125,54,640
1520,UMA  AUTO INDUSTRIES PVT. LTD,4,1,3,1,0,0,1,0,10
1521,UMA MOTORS,25,17,20,35,36,14,25,10,182
1522,UNIPAVE ENGINEERING PRODUCTS,0,3,1,2,2,3,1,0,12
1523,UNIQUE AUTO ELECTRIC,137,124,129,167,132,123,192,51,1055
1524,UNIQUE ENTERPRISES,274,231,254,389,377,305,418,143,2391
1525,UNIQUE INTERNATIONAL,1108,716,911,1077,1143,866,943,243,7007
1526,UNITED TRANSMOVERS PVT LTD,32,36,25,34,47,22,26,12,234
1527,UP FURNITURE,0,0,1,5,6,14,9,7,42
1528,U.P. TELELINKS LIMITED,204,176,197,324,279,235,277,61,1753
1529,URWASHI ENTERPRISES,56,84,93,98,63,96,67,27,584
1530,USHASONS AUTO COMPONENTS,1,1,1,0,2,0,1,0,6
1531,UTTAM CONSTRUCTION EQUIPMENTS,13,8,17,11,24,50,8,2,133
1532,VAHAK FUTURE SOLUTIONS LLP,9,1,2,2,1,7,10,4,36
1533,VAIBHAV ENGG. WORKS,4,1,3,0,1,0,0,0,9
1534,VAISHNAVI INDUSTRIES,0,0,0,0,0,6,13,1,20
1535,VALAMPURI & COMPANY,0,0,0,1,0,0,0,0,1
1536,VALDO TRACTORS PVT LTD,0,0,0,1,1,1,0,0,3
1537,VANDANA TRAILERS AND BODY MFG PVT LTD,3,0,1,0,0,0,0,0,4
1538,VANI ELECTRIC VEHICLES PVT LTD,481,430,390,480,458,438,506,116,3299
1539,VARUN INDUSTRIES,0,0,0,0,0,0,1,0,1
1540,VASANT FABRICATORS PVT LTD,1,0,0,0,0,0,0,0,1
1541,VASHAN AGRICULTURE WORKS,0,0,3,2,1,0,2,1,9
1542,VE COMMERCIAL VEHICLES LTD,7356,6357,6880,7675,6844,6958,7247,2290,51607
1543,VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION),48,50,51,65,62,33,81,21,411
1544,VEECTERO E VEHICLES LLP,5,1,5,6,4,7,3,0,31
1545,VEERA VAHANA UDYOG PRIVATE LIMITED,0,1,2,1,0,0,0,0,4
1546,VEERA VIDYUTH VAHANA PVT LTD,25,3,7,2,0,0,0,0,37
1547,VEERBHADRA ENGINEERING WORKS,3,3,2,3,0,0,1,0,12
1548,VEHICLE FACTORY JABALPUR,0,0,0,0,0,0,12,0,12
1549,VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD),10,11,14,13,24,11,10,5,98
1550,VENKATESHWARA ENGINEERING WORK,2,8,8,4,2,0,0,0,24
1551,VENKATESHWAR AGRO INDUSTRIES,0,0,0,0,0,1,0,0,1
1552,VENUS AUTO WHEELS PVT LTD,44,44,52,46,51,28,51,14,330
1553,VENUS EQUIPMENT,11,22,14,13,17,12,3,0,92
1554,VENUS TECHNO EQUIPMENT PVT LTD,0,0,0,0,0,0,3,1,4
1555,VERT EQUIPMENT PVT LTD,6,1,5,1,0,1,2,0,16
1556,VICTORY ELECTRIC INTERNATIONAL,172,152,159,198,127,129,157,52,1146
1557,VIDARBHA TRAILERS,0,0,1,2,0,2,0,0,5
1558,VIJAYA ELECTRIC AUTO PVT LTD,9,5,13,4,2,9,17,6,65
1559,VIJAYALAKSHIMI ENGG WORKS,0,1,0,1,0,0,0,0,2
1560,VIJAYA LAKSHMI INDUSTRY BARGARH RAILWAY STATION,0,0,0,0,1,0,1,0,2
1561,VIJAY ENGINEERING WORKS,0,1,0,2,0,0,0,0,3
1562,VIJAYLAXMI AUTO GARAGE MALKANGIRI KUMUTIGUDA,0,0,0,0,3,0,0,0,3
1563,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,405,403,486,583,489,410,392,87,3255
1564,VIJAYSHREE AUTOCOM LIMITED,3,2,9,6,3,6,1,0,30
