S No,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
1168,SAI ENGINEERING MAYURBHANJ BARIPADA,1,0,1,0,0,0,2,0,4
1169,SAIESHA E-VEHICLES PVT LTD,0,0,0,0,1,0,0,0,1
1170,SAIF AUTO LTD,0,0,0,5,6,0,3,1,15
1171,SAIFIAN SOLAR PVT LTD,37,47,70,67,122,50,43,18,454
1172,SAI KISHAN MACHINERY (OPC) PVT LTD,9,6,3,8,3,3,8,0,40
1173,"SAI KRIPA ENG WORKS, HALADIAPADAR,BERHAMPUR,GANJAM",0,0,0,1,0,0,0,0,1
1174,"SAI KRUPA ENGG WORKS,BHMPUR",7,2,1,0,0,0,0,0,10
1175,SAI KRUPA ENG WORKS GANJAM HALADIAPADAR,1,0,1,0,0,0,0,0,2
1176,SAINIK CYCLE MART,0,6,11,10,1,9,5,0,42
1177,SAI RAJ AGRO INDUSTRIES,0,0,0,1,1,3,5,0,10
1178,SAI RAM AGRO INDUSTRIES AP67540865,0,0,0,0,0,0,0,2,2
1179,SAI SAMEER POWER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,1,0,1
1180,SAJEDA ENGINEERING BHAWANIPATNA,0,0,0,0,0,0,1,0,1
1181,SAKSHAM TECH AUTOMOBILES,1,3,6,11,10,5,7,1,44
1182,SAKSHAM TRADING COMPANY,54,53,41,46,55,55,55,19,378
1183,SAMALESWARI ENGINEERING WORKS BARGARH PADAMPUR,0,0,0,1,0,0,0,0,1
1184,SAMAL FABRICATOR CHANDIKHOLE SUNGUDA,2,0,4,1,4,2,2,0,15
1185,SAMAY AGRI INDUSTRIES,0,1,0,2,1,0,0,1,5
1186,SAMBASIVA MODERN INDUSTRIES AP67631075,0,0,0,0,0,0,1,0,1
1187,SAME DEUTZ - FAHR INDIA (P) LTD.,43,57,48,47,46,48,64,22,375
1188,SAMEER ENGINEERING,1,0,0,0,0,1,0,1,3
1189,SAMRAT ELECTRIC VEHICLE,37,44,30,47,52,54,55,15,334
1190,SANALDEEP INDUSTRIES,5,7,4,0,4,5,2,2,29
1191,S AND J INDUSTRIES,4,5,2,12,8,5,3,1,40
1192,SANJAY TRAILORS,0,0,0,0,7,0,0,0,7
1193,SANSAR COMBINE,1,2,2,2,1,3,4,0,15
1194,SANTKRUPA ENGINEERING WORKS,0,0,1,0,11,4,2,5,23
1195,SANTKRUPA MACHINE TOOLS,0,12,21,28,11,2,3,0,77
1196,SANTOSH ENGG WORKS,19,13,17,5,11,9,12,2,88
1197,SANY AUTOMOBILE MANUFACTURE CO LTD,0,0,0,0,0,2,0,0,2
1198,SANY HEAVY INDUSTRY INDIA PVT LTD,48,30,48,42,54,62,40,12,336
1199,SANY INDIA,1,1,2,0,0,1,0,0,5
1200,SARALA ENTERPRISERS CUTTACK JAGATPUR,1,0,0,0,0,0,0,0,1
1201,SARALA ENTERPRISES CUTTACK,0,1,0,2,1,0,1,0,5
1202,SARANGI MOTORS TRAILER SNG,3,13,11,13,15,15,6,1,77
1203,SARAOGI E-VENTURES PVT LTD,1,0,0,0,0,0,1,0,2
1204,SARASWATI AGRICULTURE INDUSTRIES,0,1,0,1,0,0,0,0,2
1205,"SARASWATI AGRO INDUSTRIES,CTC",0,0,0,0,1,0,1,0,2
1206,SARASWATI AGRO INDUSTRIES CUTTACK KANDARPUR,5,2,4,3,4,2,4,1,25
1207,SARAVANA ENGINEERING WORKS,27,376,234,98,422,216,295,0,1668
1208,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,289,253,302,390,420,353,434,104,2545
1209,SATKAR AGRO ENGINEERING,0,0,0,0,0,0,1,0,1
1210,SATKARTAR AGRO WORKS,0,1,1,0,2,0,1,0,5
1211,SATNAM ENGG WORKS,2,1,1,4,1,2,2,0,13
1212,SATRAC ENGINEERING PVT LTD,51,0,36,1,20,47,20,15,190
1213,SATYANARAYANA ENGG.WORKS,7,3,8,2,0,0,0,0,20
1214,SAYA AGRO INDUSTRIES,2,0,5,0,0,4,0,0,11
1215,S.B. RESHELLERS PVT LTD,9,6,22,2,2,3,2,0,46
1216,SBTEK E MOTO PVT LTD,1,1,1,2,1,0,1,0,7
1217,S B TRADERS,13,41,33,20,46,50,60,11,274
1218,SCA HAEVY EQUIPMENT PVT. LTD,0,0,0,0,3,0,0,0,3
1219,SCANIA COMMERCIAL VEHICLES INDIA PVT LIMITED,3,1,5,3,12,0,5,6,35
1220,SCOOTERS INDIA LTD,0,0,1,0,0,0,0,0,1
1221,SDLG,4,0,0,0,0,0,0,0,4
1222,SEALION AUTOMOBILE PVT LTD,0,6,3,1,0,1,5,0,16
1223,SEAMLESS AUTOTECH PVT LTD,8,0,14,20,0,10,14,0,66
1224,SEC-RJMT ENGINEERING PVT LTD,14,10,8,7,7,39,6,0,91
1225,SEEKA E MOTORS PVT LTD,0,1,0,0,0,0,0,1,2
1226,SEN AND PANDIT VOLTAGE CONTROL PVT LTD,1,6,0,1,6,2,4,0,20
1227,SETH INDUSTRIAL CORPORATION,68,53,61,46,48,47,96,9,428
1228,SETHJI INDUSTRIES,2,0,1,1,4,1,0,0,9
1229,SF2 E VEHICLE PVT LTD,9,6,6,5,10,9,2,1,48
1230,SGLLINE MOTORS PVT LTD,0,1,1,0,0,0,0,0,2
1231,SHAH ELECTRIC MOTERS,4,3,4,12,9,7,1,1,41
1232,SHAILENDRA AUTOS PVT LTD,8,11,33,19,38,22,12,2,145
1233,SHAKTI AUTO GREEN,105,62,69,79,61,80,70,36,562
1234,SHAKTI ENGINEERING GANJAM HALADIAPADAR,0,0,0,0,0,3,0,0,3
1235,SHAKTI ENGINEERING WORKS,0,1,0,0,0,0,0,0,1
