S No,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
1011,ROWWET MOBILITY PVT LTD,15,7,6,1,8,6,6,6,4,4,1,4,68
1012,ROYAL AUTOMOBILES,0,0,0,0,0,0,0,0,0,0,1,0,1
1013,ROYAL-ENFIELD (UNIT OF EICHER LTD),65157,65141,71040,61884,69672,62382,56335,59613,64174,69879,83980,56062,785319
1014,ROYAL TRACTOR PVT LTD,0,0,2,0,10,1,0,0,3,0,0,2,18
1015,RP MOTORS,0,0,0,0,0,0,0,0,0,0,12,20,32
1016,RSB AGRO INDUSTRIES,1,1,0,0,0,0,0,0,0,0,0,0,2
1017,RSD SECURITY SOLUTIONS PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0,1
1018,RUPAL AGRO IND,0,0,0,0,0,1,0,0,0,0,0,0,1
1019,RUPAL AGRO INDUSTRIES,1,1,2,1,4,10,0,1,2,0,0,2,24
1020,RUTBA PRODUCT PVT LTD,54,41,74,35,31,45,44,54,67,81,42,60,628
1021,SACHITANAND ENGINEERING WORKS,1,0,0,1,0,0,0,0,3,0,0,0,5
1022,SADGURU TRAILER & AGRI EQUIP,5,1,4,0,2,0,2,3,0,0,0,1,18
1023,SAERA ELECTRIC AUTO PVT LTD,1748,1856,2243,1857,2059,2363,2724,2857,3141,3133,2702,2653,29336
1024,SAGAR AGRO STEEL INDUSTRIES,9,20,8,10,18,17,4,15,11,27,13,15,167
1025,SAGAR FABRICATIONS,4,1,0,0,0,3,0,0,0,2,0,0,10
1026,SAGAR INDUSTRIES,0,0,0,0,0,0,1,4,3,0,0,0,8
1027,SAHARA TRALIORS,0,0,1,0,0,0,0,4,8,0,0,6,19
1028,SAHKAR AGRO IND,0,0,1,0,0,0,0,0,0,0,0,0,1
1029,SAHNIANAND E VEHICLES PVT LTD,307,349,318,427,404,465,446,580,617,527,644,704,5788
1030,SAHU INDUSTRIES,3,1,2,3,3,1,0,1,1,4,7,5,31
1031,SAI AGRO INDUSTRIES,0,0,0,1,1,0,2,1,0,3,2,1,11
1032,SAI BABA FABRICATION,1,2,2,0,0,1,0,0,0,0,0,0,6
1033,SAI ENGINEERING AND WELDING WORKS,1,16,6,5,6,3,1,5,5,2,9,4,63
1034,"SAI KRIPA ENG WORKS, HALADIAPADAR,BERHAMPUR,GANJAM",0,2,1,0,0,0,0,0,0,0,0,0,3
1035,"SAI KRUPA ENGG WORKS,BHMPUR",1,0,3,3,3,4,6,4,2,5,5,4,40
1036,SAINIK CYCLE MART,2,4,0,9,3,1,5,0,4,4,0,4,36
1037,SAI SAMEER POWER ELECTRIC VEHICLES PVT LTD,0,2,8,1,1,0,0,3,5,1,1,0,22
